model,dataset,seeds,learning_rate,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,predicted_class_count_min
text,meld,42|123|2026,0.0003,0.598194000799824,0.0037785599598797585,0.4072825880947123,0.008987620751238623,0.6043422733077906,0.006322806536136206,7
text,emotiontalk,42|123|2026,0.0003,0.44048751571552497,0.004380246039226882,0.3895533148257654,0.0015522375646669453,0.4356315880421635,0.004408968661542444,7
audio,meld,42|123|2026,0.0003,0.4447255604288623,0.007845875148726483,0.259524553314028,0.008845492676382776,0.46283524904214557,0.010534656770013447,7
audio,emotiontalk,42|123|2026,0.001,0.5204626398283498,0.014537388025853689,0.41620376503704015,0.015213276420657939,0.525315362018317,0.020253144755656215,7
vision,meld,42|123|2026,0.001,0.3588156462581349,0.00520434147809386,0.16815448366909985,0.009792033248239917,0.41392081736909325,0.016047801740840976,7
vision,emotiontalk,42|123|2026,0.001,0.4422372875254654,0.03696336951668503,0.3358697850817425,0.0231882723880793,0.4454812510800069,0.02978601890639744,7
